id,desc,good_id,good_num,start_time,uid
1001216,Repay_Text_20,405231005,3,1772337601,1829175372266
1001217,Repay_Text_20,508053001,2,1772337601,1934325918225
1001218,Repay_Text_20,509093001,2,1772337601,1934325918225
1001219,Repay_Text_20,509093002,2,1772337601,1934325918225
1001220,Repay_Text_20,509093003,2,1772337601,1934325918225
1001221,Repay_Text_20,508053004,2,1772337601,1934325918225
1001222,Repay_Text_20,401300001,4,1772337601,1934325918225
1001223,Repay_Text_20,405231005,6,1772337601,1934325918225
1001224,Repay_Text_20,508053001,1,1772337601,1949266029078
1001225,Repay_Text_20,509093001,1,1772337601,1949266029078
1001226,Repay_Text_20,509093002,1,1772337601,1949266029078
1001227,Repay_Text_20,509093003,1,1772337601,1949266029078
1001228,Repay_Text_20,508053004,1,1772337601,1949266029078
1001229,Repay_Text_20,203035,3,1772337601,1949266029078
1001230,Repay_Text_20,401300001,2,1772337601,1949266029078
1001231,Repay_Text_20,405231005,3,1772337601,1949266029078
1001232,Repay_Text_20,251,2,1772337601,1949266029078
1001233,Repay_Text_20,508053001,1,1772337601,1995975174696
1001234,Repay_Text_20,508053004,1,1772337601,1995975174696
1001235,Repay_Text_20,401300001,2,1772337601,1995975174696
1001236,Repay_Text_20,405231005,3,1772337601,1995975174696
1001237,Repay_Text_20,509093001,2,1772337601,1712317344191
1001238,Repay_Text_20,509093002,2,1772337601,1712317344191
1001239,Repay_Text_20,230001,82,1772337601,1712317344191
1001240,Repay_Text_20,509093003,2,1772337601,1712317344191
1001241,Repay_Text_20,203035,6,1772337601,1712317344191
1001242,Repay_Text_20,251,2,1772337601,1712317344191
1001243,Repay_Text_20,509093001,1,1772337601,1923785828877
1001244,Repay_Text_20,509093002,1,1772337601,1923785828877
1001245,Repay_Text_20,509093003,1,1772337601,1923785828877
1001246,Repay_Text_20,203035,2,1772337601,1923785828877
1001247,Repay_Text_20,401300001,1,1772337601,1923785828877
1001248,Repay_Text_20,405231005,3,1772337601,1923785828877
1001249,Repay_Text_20,251,2,1772337601,1923785828877
1001250,Repay_Text_20,509093003,1,1772337601,1428298410326
1001251,Repay_Text_20,410295004,3,1772337601,1428298410326
1001252,Repay_Text_20,251,4,1772337601,1428298410326
1001253,Repay_Text_20,509093002,1,1772337601,437843142588
1001254,Repay_Text_20,509093003,1,1772337601,437843142588
1001255,Repay_Text_20,295,2210,1772337601,437843142588
1001256,Repay_Text_20,203035,3,1772337601,437843142588
1001257,Repay_Text_20,297,30000,1772337601,437843142588
1001258,Repay_Text_20,153,60,1772337601,437843142588
1001259,Repay_Text_20,203038,2,1772337601,437843142588
1001260,Repay_Text_20,410295003,2,1772337601,437843142588
1001261,Repay_Text_20,508053001,1,1772337601,1810159643107
1001262,Repay_Text_20,509093001,1,1772337601,1810159643107
1001263,Repay_Text_20,508053004,1,1772337601,1810159643107
1001264,Repay_Text_20,203035,3,1772337601,1810159643107
1001265,Repay_Text_20,401300001,4,1772337601,1810159643107
1001266,Repay_Text_20,405231005,6,1772337601,1810159643107
1001267,Repay_Text_20,203038,2,1772337601,1810159643107
1001268,Repay_Text_20,508053001,1,1772337601,1956205832729
1001269,Repay_Text_20,509093001,1,1772337601,1956205832729
1001270,Repay_Text_20,509093002,1,1772337601,1956205832729
1001271,Repay_Text_20,509093003,1,1772337601,1956205832729
1001272,Repay_Text_20,508053004,1,1772337601,1956205832729
1001273,Repay_Text_20,220005,44,1772337601,1956205832729
1001274,Repay_Text_20,401300001,2,1772337601,1956205832729
1001275,Repay_Text_20,405231005,3,1772337601,1956205832729
1001276,Repay_Text_20,508053001,1,1772337601,1791543880156
1001277,Repay_Text_20,509093001,2,1772337601,1791543880156
1001278,Repay_Text_20,508053004,1,1772337601,1791543880156
1001279,Repay_Text_20,405231005,9,1772337601,1791543880156
